#{"t_start": 1631093261.7550159, "env_id": null}
r,l,t
-299.551932,856,32074.621176
-53.68104,1500,32133.057123
-315.631921,1500,32192.34678
-296.453034,1500,32252.633909
-103.098777,1500,32311.785815
-57.363357,1500,32373.202057
-186.722664,1500,32432.338412
-253.048174,1500,32490.992119
-244.800178,1500,32549.473747
-169.837216,1500,32608.557859
-208.118779,1500,32666.811898
-211.252438,1500,32726.248745
-203.115347,1500,32784.671662
-358.812497,1500,32843.354102
-120.731503,1500,32903.378028
125.376011,1500,32963.234818
57.017241,1500,33021.526044
-159.11608,1500,33080.540473
-132.28667,1500,33138.965577
-482.149803,1500,33200.546561
-62.514748,1500,33260.117068
-131.654234,1500,33319.730012
-85.459161,1500,33379.763092
-546.416671,1500,33438.227573
-288.827268,1500,33497.31284
-61.031997,1500,33555.780204
-181.047243,1500,33614.978516
-288.658568,1500,33673.787791
-297.068842,1500,33733.524648
-283.50746,1500,33792.493711
-204.688005,1500,33850.966053
-247.240026,289,33862.827803
-49.412841,1500,33921.200034
-49.260625,1500,33979.761129
-265.660561,1500,34038.275437
-257.76426,1500,34099.239157
-91.203683,1500,34157.737004
-245.246931,1500,34217.556562
-38.84152,1500,34276.363389
-132.828404,1500,34334.776887
162.91565,1500,34393.57848
-107.504323,1500,34451.816634
-150.658279,1500,34510.123127
-166.401453,1500,34568.88222
-238.870519,1500,34627.128402
-294.324151,1500,34685.437729
-220.298054,1500,34743.535721
-41.724018,1500,34803.792466
-86.998538,1500,34861.910331
-161.159442,1500,34920.498023
-41.204092,1500,34979.403023
-183.200157,1500,35038.242796
-97.950637,1500,35097.541005
74.433823,1500,35156.484502
-228.938933,1500,35215.026478
-115.47664,1500,35273.916706
-249.525894,1500,35333.412498
-252.368533,1500,35391.73559
-160.190399,1500,35452.907342
-94.925973,1500,35511.377723
105.587508,1500,35570.06418
21.253112,1500,35628.570686
-303.262959,1048,35670.737804
-202.181732,1500,35729.153835
44.171543,1500,35788.077109
258.273123,1500,35846.257138
-38.330216,1500,35904.536444
-491.469454,1500,35962.59
-75.806206,1500,36023.885657
-237.393374,1500,36085.733526
-252.169691,1500,36144.433839
-58.093594,1500,36202.702203
-320.423613,1500,36261.028642
-65.826235,1500,36321.440898
-201.88626,1500,36382.034655
185.065826,1500,36440.387324
-375.285151,1166,36487.322908
-6.879126,1500,36546.505296
-278.708303,1500,36607.035453
-220.228783,1500,36668.345946
-117.554952,1500,36728.121506
-153.00738,1500,36787.13115
-494.850533,1500,36845.551136
-308.646953,1500,36904.392185
54.407033,1500,36962.783614
-101.852813,1500,37021.31207
-118.078231,1181,37069.474774
-99.810553,1500,37128.892989
-106.782198,1500,37187.562604
-346.850559,1500,37246.86906
-104.934851,1500,37305.703687
-241.913524,1500,37365.127843
-94.780593,1500,37423.610987
81.125886,1500,37482.211863
-47.555964,1500,37540.938686
-69.610446,1500,37599.865455
-398.575148,1345,37654.218331
-90.29956,1500,37712.639039
-195.59132,1500,37774.94257
-165.878226,1500,37833.405474
-237.429102,583,37857.829047
-50.703459,1500,37921.03636
-12.94966,1500,37979.659393
-374.301706,1500,38038.789639
-17.796281,1500,38098.699293
99.014207,1500,38157.072372
-30.310779,1500,38215.520549
-252.335353,1500,38274.050572
-81.899382,1500,38332.500297
-314.756057,1500,38391.732503
52.920426,1500,38450.580924
-172.122517,1500,38509.415293
-201.540922,1500,38568.207559
-239.303339,1500,38626.763289
-62.360389,1500,38685.190164
-409.668138,869,38720.236921
